ID_Falla,Machine Name,EQ Type,Shift,Cluster
613,ARANZAZU,Feeder,1st,C
614,ARANZAZU,Feeder,2nd,C
615,ATOTONILCO,Feeder,3rd,C
616,ATOTONILCO,Feeder,1st,C
617,ATOTONILCO,Feeder,3rd,C
618,ATOTONILCO,Feeder,1st,C
619,ATOTONILCO,Feeder,1st,C
620,ATOTONILCO,Feeder,2nd,C
621,ATOTONILCO,Feeder,2nd,C
622,ATOTONILCO,Feeder,2nd,C
623,ATOTONILCO,Robot,2nd,C
624,ATOTONILCO,Robot,2nd,C
625,ATOTONILCO,Robot,3rd,C
626,ATOTONILCO,Controlador,1st,C
627,ATOTONILCO,Controlador,1st,C
628,ATOTONILCO,Feeder,1st,C
629,ATOTONILCO,IMM,3rd,C
630,ATOTONILCO,Feeder,3rd,C
631,ATOTONILCO,Robot,3rd,C
632,ATOTONILCO,Robot,3rd,C
633,ATOTONILCO,Feeder,1st,C
634,ATOTONILCO,Feeder,1st,C
635,ATOTONILCO,Feeder,2nd,C
636,ATOTONILCO,IMM,2nd,C
637,ATOTONILCO,Robot,3rd,C
638,ATOTONILCO,IMM,3rd,C
639,ATOTONILCO,Robot,2nd,C
640,ATOTONILCO,Termoregulador,1st,C
641,ATOTONILCO,IMM,1st,C
642,ATOTONILCO,Feeder,3rd,C
643,ATOTONILCO,IMM,1st,C
644,ATOTONILCO,Fixture,3rd,C
645,ATOTONILCO,IMM,1st,C
646,ATOTONILCO,Fixture,1st,C
647,ATOTONILCO,Robot,3rd,C
648,ATOTONILCO,Robot,1st,C
649,ATOTONILCO,Robot,2nd,C
650,ATOTONILCO,Robot,2nd,C
651,ATOTONILCO,IMM,3rd,C
652,ATOTONILCO,Loader,2nd,C
653,ATOTONILCO,IMM,2nd,C
654,ATOTONILCO,IMM,2nd,C
655,ATOTONILCO,Robot,3rd,C
656,ATOTONILCO,IMM,2nd,C
657,ATOTONILCO,Feeder,2nd,C
658,ATOTONILCO,Robot,1st,C
659,ATOTONILCO,Feeder,1st,C
660,ATOTONILCO,Cargador,3rd,C
661,ATOTONILCO,IMM,3rd,C
662,ATOTONILCO,IMM,2nd,C
663,ATOTONILCO,Feeder,3rd,C
664,ATOTONILCO,IMM,2nd,C
665,ATOTONILCO,IMM,1st,C
666,ATOTONILCO,IMM,2nd,C
667,ATOTONILCO,IMM,2nd,C
668,ATOTONILCO,Secador,3rd,C
669,ATOTONILCO,Robot,3rd,C
670,ATOTONILCO,IMM,1st,C
671,ATOTONILCO,IMM,1st,C
672,ATOTONILCO,Termoregulador,1st,C
673,ATOTONILCO,IMM,3rd,C
674,ATOTONILCO,Cargador,1st,C
675,ATOTONILCO,IMM,2nd,C
676,ATOTONILCO,Robot,3rd,C
677,ATOTONILCO,Robot,1st,C
678,ATOTONILCO,Termoregulador,1st,C
679,ATOTONILCO,Secador,1st,C
680,ATOTONILCO,Robot,2nd,C
681,ATOTONILCO,Termoregulador,2nd,C
682,ATOTONILCO,Robot,1st,C
683,AUSTRIA,Security Cage,1st,A
684,AUSTRIA,Termoregulador,1st,A
685,AUSTRIA,Cortadora,3rd,A
686,AUSTRIA,Termoregulador,1st,A
687,AUSTRIA,IMM,2nd,A
688,AUSTRIA,Robot,1st,A
689,AUSTRIA,fixture,3rd,A
690,AUSTRIA,Robot,3rd,A
691,AUSTRIA,Robot,1st,A
692,AUSTRIA,IMM,2nd,A
693,AUSTRIA,Secador,1st,A
694,AUSTRIA,Robot,3rd,A
695,AUSTRIA,Cargador,1st,A
696,AUSTRIA,Cargador,2nd,A
697,AUSTRIA,Robot,2nd,A
698,AUSTRIA,IMM,2nd,A
699,AUSTRIA,IMM,2nd,A
700,AUSTRIA,Robot,3rd,A
701,AUSTRIA,IMM,3rd,A
702,AUSTRIA,Robot,3rd,A
703,AUSTRIA,Secador,2nd,A
704,AUSTRIA,Cargador,3rd,A
705,AUSTRIA,Robot,3rd,A
706,AUSTRIA,IMM,1st,A
707,AUSTRIA,Termoregulador,2nd,A
708,AUSTRIA,Secador,3rd,A
709,AUSTRIA,Secador,3rd,A
710,AUSTRIA,Secador,3rd,A
711,AUSTRIA,IMM,3rd,A
712,AUSTRIA,IMM,1st,A
713,AUSTRIA,Cargador,3rd,A
714,AUSTRIA,IMM,3rd,A
715,AUSTRIA,Robot,2nd,A
716,AUSTRIA,Robot,2nd,A
717,AUSTRIA,Robot,1st,A
718,AUSTRIA,Robot,1st,A
719,AUSTRIA,IMM,2nd,A
