Maquina,Indice_Tiempo,Tiempo_Entre_Fallas
BATMAN,10,10.09806887
BATMAN,11,58.69147786
BATMAN,12,4.874362072
BATMAN,13,6.497991748
BATMAN,14,0.146781053
BATMAN,15,5.367207569
BATMAN,16,4.14930868
BATMAN,17,4.608338623
BATMAN,18,3.812817245
BATMAN,19,0.23156794
BATMAN,20,31.54897439
BATMAN,21,17.79534178
BATMAN,22,5.768618137
BATMAN,23,1.812075232
BATMAN,24,1.710707789
BATMAN,25,0.291392593
BATMAN,26,1.788507442
BATMAN,27,7.129173414
BATMAN,28,0.616978194
BATMAN,29,16.44468858
BATMAN,30,3.02085382
BATMAN,31,10.53903183
BATMAN,32,34.47585375
BATMAN,33,9.490849803
BATMAN,34,0.233753785
BATMAN,35,0.655036724
BATMAN,36,1.84040691
BATMAN,37,8.501352778
BATMAN,38,0.658685463
BATMAN,39,30.96642627
BATMAN,40,48.43375309
BATMAN,41,57.32538861
BATMAN,42,8.760544491
BATMAN,43,31.63153163
BONITA,1,2.118784873
BONITA,2,24.38852323
BONITA,3,12.58426439
BONITA,4,22.58303762
BONITA,5,0.495704942
BONITA,6,81.03142194
BONITA,7,6.486036424
BONITA,8,14.95835344
BONITA,9,0.025524155
BONITA,10,0.083703009
BONITA,11,11.74088087
BONITA,12,14.77581096
CAIFANES,1,2.121346875
CAIFANES,2,0.479275891
CAIFANES,3,0.023138426
CAIFANES,4,2.891927199
CAIFANES,5,22.47131605
CAIFANES,6,9.477400197
CAIFANES,7,1.872661574
CAIFANES,8,21.67290112
CAIFANES,9,14.62775922
CAIFANES,10,0.434038924
CAIFANES,11,3.488802662
CAIFANES,12,26.8568956
CAIFANES,13,0.735986655
CAIFANES,14,5.210938357
CAIFANES,15,0.037842789
CAIFANES,16,4.834092396
CAIFANES,17,0.06300625
CAIFANES,18,10.30036968
CAIFANES,19,27.22405525
CAIFANES,20,3.562741285
CAIFANES,21,29.38779934
CAIFANES,22,0.301135914
CAIFANES,23,9.194542211
CAIFANES,24,3.820200417
CAIFANES,25,0.305114861
CAIFANES,26,12.93874537
CAIFANES,27,0.07761088
CAIFANES,28,0.039473067
CAIFANES,29,18.41262531
CAIFANES,30,0.308942593
CAIFANES,31,1.520423414
CAIFANES,32,19.95382126
CAIFANES,33,7.100404549
CAIFANES,34,1.951011192
CAIFANES,35,0.606661771
CAIFANES,36,18.02256245
CAIFANES,37,6.286815428
CAIFANES,38,16.3497647
CAIFANES,39,51.66104904
CAIFANES,40,23.6333101
CAIFANES,41,14.03208117
CAIFANES,42,0.870757488
CAIFANES,43,0.925080393
CAIFANES,44,9.916350417
CAIFANES,45,15.59786801
CAIFANES,46,11.85441166
CAIFANES,47,16.60106034
CAIFANES,48,11.15010076
CAIFANES,49,38.09685741
CAIFANES,50,13.16112978
CAIFANES,51,0.343891319
CANADA,1,15.40393256
CANADA,2,10.8249106
CANADA,3,3.567204363
CANADA,4,0.867039074
CANADA,5,3.367288843
CANADA,6,2.83624934
CANADA,7,0.379688704
CANADA,8,2.082166516
CANADA,9,7.371725312
CANADA,10,0.948234572
CANADA,11,0.80670162
CANADA,12,2.58406397
CANADA,13,7.327740509
CANADA,14,1.051241586
CANADA,15,1.814707905
CANADA,16,0.156941898
CANADA,17,0.074765127
CANADA,18,1.108188079
CANADA,19,0.11484066
CANADA,20,0.12168368
CANADA,21,4.388747222
CANADA,22,3.546150463
CANADA,23,0.548876007
CANADA,24,8.85282662
